n,time,Logn*0.20530613-3.50701963,,sqrt(n)*0.00091436-0.36456361,,n*5.32426343e-07-0.03404061,,n*logn*2.51191636e-08-0.00921627,,n^2*2.49048274e-13-0.16664807,,n^3*1.24528471e-19-0.24964701,
1640000,0.597,0.73157970354027,0.018111696604987,0.80638852554782,0.04384355463109,0.83913859252,0.058631097987567,0.841274238755098,0.059669903719383,0.5031921677504,0.008799909391369,0.299641101986624,0.088422314227729
1660000,1.175,0.735169979445626,0.193450446980861,0.813506841176839,0.130677303875947,0.84978711938,0.105763417721158,0.85237526165241,0.104086721793851,0.5196293538344,0.429510683855516,0.319983076781416,0.731053938990174
1680000,0.725,0.73871725700067,0.000188163139622,0.820582402999242,0.00913599576311,0.86043564624,0.018342814272447,0.863485017120697,0.01917809996692,0.5362657785376,0.035620606351018,0.340821173004672,0.147593371111506
1700000,0.387,0.742222553953897,0.12618306283753,0.827615972244219,0.194142434996718,0.8710841731,0.234337486645911,0.874603401195842,0.237757076857753,0.55310144186,0.027589688987971,0.362161368023,0.000616957638489
1720000,1.02,0.745686852341677,0.075247702978217,0.834608287816155,0.034370086946458,0.88173269996,0.019117846260351,0.885730312360109,0.018028349018914,0.5701363438016,0.202377309168192,0.384009639203008,0.404483739026688
1740000,0.401,0.749111100139762,0.121181338040515,0.841560067200643,0.194093172811835,0.89238122682,0.241455510071128,0.896865651456805,0.245882744294681,0.5873704843624,0.034733957441476,0.406371963911304,2.88579962643527E-05
1760000,0.563,0.752496212820449,0.035908814673293,0.848472007323745,0.081494266965449,0.90302975368,0.115620233387682,0.908009321608851,0.119031431997,0.6048038635424,0.001747563007072,0.429254319514496,0.017887907048531
1780000,1.36,0.755843074821722,0.365005590240871,0.855344785367456,0.25467688565582,0.91367828054,0.199203077261731,0.919161228141066,0.194338822774093,0.6224364813416,0.54399994405576,0.452662683379192,0.823261006132648
1800000,0.95,0.759152540934351,0.036422752631815,0.862179059544025,0.007712517582572,0.9243268074,0.000659112818277,0.930321278505935,0.000387252079641,0.64026833776,0.095933702593954,0.476603032872,0.224104688485989
1820000,1.593,0.762425437612326,0.689854103685476,0.868975469831685,0.524211520285449,0.93497533426,0.432996460722239,0.941489382212684,0.42446608508961,0.6582994327976,0.873665150328488,0.501081345359528,1.19228634835186
